,dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR2|1062408-1062558_reverse",-1.7459861981432312,-3.956818036976445,-0.9019292351939165,13.06691382478911,5.179957813744563,-15.022031829403781,-2.642803438859495,11.074210590621078,-5.960401252361376
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS2|1063532-1063682_reverse",-1.558320566987686,-4.467931017484403,-0.9717526733416253,12.824127995080824,5.138907852319852,-15.123340926451817,-2.1998828607146996,9.895037652571835,-5.797573676155412
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR1|409862-410012_forward",-1.621989932625259,-4.342813300409499,-0.9308272923966696,12.964488691432974,4.614361696723325,-14.372315294923164,-2.5368579588630884,9.692580962452883,-6.277051142079822
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS1|410576-410726_forward",-1.019637855086271,-4.271901970540577,-0.7600670667343332,13.630199712686364,4.663897578163711,-15.081494209604656,-2.7033468187212635,10.044053476201462,-6.253249082075163
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase KdpD|1495653-1495803_forward",-1.0954632117145993,-3.7890660286474347,-1.3348069100893927,12.825876859553889,5.491974759861751,-15.36005745151019,-2.58416774799816,10.685712312621638,-5.604840164176031
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator KdpE|1498346-1498496_forward",-0.9024484271360189,-4.529799327754112,-0.7929309959186345,12.99395715912207,4.643176065349283,-15.233330231540029,-2.8426689507730014,9.820101854941608,-5.8254929592893205
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS5|1806060-1806210_reverse",-1.0356233270772202,-4.175683908020213,-0.8146817544200564,13.591284146914786,4.625057265897452,-15.12538253577689,-2.822703678497306,10.308779300396097,-6.478306641652272
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR5|1806752-1806902_reverse",0.08824731840880036,-3.930425669188028,-0.1550047165620109,6.377986374706803,4.645510542906686,-8.187751285443072,-1.2045171408949442,1.3635993515465956,-6.522090347484962
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS4|1689574-1689724_reverse",-0.8916820702821492,-4.20852887028246,-1.0269953328297243,13.211002059321936,4.503696974541227,-14.91695138203762,-2.803645386863217,10.907746791981088,-6.540832675615694
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR4|1690293-1690443_reverse",-1.6464744916206602,-3.802297090272883,-1.3217453071670857,12.560172967516243,5.0809603001527925,-14.741137797751334,-2.1264026249088843,11.093815649220282,-6.169892870967046
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR3|1362662-1362812_reverse",-1.2973205367664504,-4.30165112922817,-0.554798292651633,13.026963040248095,4.918264417019013,-15.302681197710957,-2.348320276756141,10.210400800918501,-5.343962599078593
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS3|1363768-1363918_reverse",-1.2779303956828822,-3.914651055842994,-1.396177162681321,13.074744338701576,4.750800617013482,-15.415220881271196,-2.7550802866436817,10.979581773448707,-5.466041791338685
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase MtrB|1915126-1915276_reverse",-0.6851016802096789,-4.264355716105287,-1.2290223788071752,13.298044726267426,4.583913580226899,-15.09206240727877,-2.840019023839795,10.397753651609058,-5.975926496452689
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator MtrA|1915810-1915960_reverse",-0.9322302743595685,-4.437687657275601,-0.7504895374195726,13.22356295148707,4.9368996102117295,-15.219949507192277,-2.523889819284917,9.334440121062109,-5.704120338939564
