,dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR2|1062408-1062558_reverse",-10.703949619662687,9.02385146660401,-14.530064901309519,5.89147070273342,-2.45629380996162,3.2698457854907157,4.37353883398715,-5.116550190597965,-0.017050249476807996
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS2|1063532-1063682_reverse",-11.041378405157834,8.459376880721381,-13.652141601346178,6.284011866483092,-2.0348234512363192,2.9466483156423466,4.645538567090534,-5.298962519427543,-0.012450031868010266
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR1|409862-410012_forward",-10.434651869004927,8.267022256810261,-13.451980442129365,5.895857195407932,-1.452580096434624,2.957513248771721,4.381442753917444,-4.702658408758945,0.06248431744428078
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS1|410576-410726_forward",-11.024893890414868,9.023968656239244,-13.958853533517049,5.731605081686443,-1.3662978049020638,2.813564792522405,4.773706107769733,-4.724715682546317,-0.21827452537578743
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase KdpD|1495653-1495803_forward",-11.078663369868892,8.666455399890937,-14.272392204907202,5.790712535027996,-2.243275801018645,2.99848143415411,4.053150846535767,-5.8534088491906715,-0.20643143303207845
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator KdpE|1498346-1498496_forward",-11.22814676559,8.753107988566368,-13.664612929786008,5.649704974903199,-1.6041853526405392,2.568270420870394,4.531134769562482,-4.978356337504603,-0.00978449074585847
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS5|1806060-1806210_reverse",-10.934302633842453,9.040589236188408,-14.244184668070947,5.7316064141044345,-1.3677197067319637,2.892917459617234,4.843491674949879,-4.708710184575149,-0.04105814091841901
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR5|1806752-1806902_reverse",-5.581207199409895,2.8267367048673138,-5.474895821443356,5.636612693938318,0.11516494832174977,-0.017449421637239077,2.075796655331847,-4.659733731509418,3.251818476663969
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS4|1689574-1689724_reverse",-10.755943099607421,8.99574979309687,-14.783362902714359,5.916444450732714,-1.4412661390665582,2.694866073962262,4.268731322831589,-4.74425213215614,0.20068368454565771
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR4|1690293-1690443_reverse",-10.226733782447141,8.539283046527471,-14.63165923794946,6.286084599203595,-2.307555544228778,3.211484185180945,3.7829291894132044,-5.310627423919014,0.2010069219964263
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system response regulator TcsR3|1362662-1362812_reverse",-11.122539236957348,8.936839370977701,-13.489788347955935,6.038348795676364,-2.195666377689317,2.8387203631985765,4.610937967665361,-5.350495619461865,-0.19751486254019518
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|two-component system sensor kinase TcsS3|1363768-1363918_reverse",-11.308927782077886,8.814038579369322,-14.649337522384489,6.109877965190354,-2.392244825212759,2.6770122248712327,4.118775711872515,-5.23532956571829,-0.382861380234083
